text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,is_retweet,is_quote_status
"A prospective, interventional trial investigated sildenafil’s (Viagra®, Pfizer) potential by enhancing choroidal blood flow in 8 eyes from four participants with 3–8 years CSCR found evidence for reduction in choroidal thickness in small subset of patients https://t.co/EJ7UrXBgKK https://t.co/Rt9STLKKTR",en,"Saint-Jérôme, Québec",,,,garand_f,Wed Jul 01 11:17:05 +0000 2020,0,0,0,1,FALSE
"@Dr_Bowser I wonder what they have for impotence awareness? 
A giant penis holding oversized Sildenafil tablets? 😂",en,Canada,,,,EEDaniels2,Sun Jun 28 18:59:15 +0000 2020,0,0,0,0,FALSE
"Viagra and Cialis seem to get the headlines, but what about Levitra? We look at some of the differences between sildenafil, tadalafil and vardenafil. #UPGUYS #MensHealth #Viagra 
#UPGUYS #MensHealth #ED 
https://t.co/9ZFPcCrRXS",en,Canada,,,,upguyshealth,Sun Jun 28 16:56:01 +0000 2020,0,0,0,0,FALSE
"...potentially due to some form of scarring related to the chylothorax or a case of pneumonia a couple years ago. We tried Sildenafil for a while, but it wasn’t clear it was making a difference, so we stopped it. We’ve tested for valley fever, bartonella, and more (all neg). ❤️🐶",en,"Toronto, ON",,,,mjcreid,Thu Jun 25 11:20:32 +0000 2020,0,0,0,1,FALSE
Viasil France - https://t.co/Y9i7IFiGm1 #viasilreview #viasil,fr,Canada,,,,iamWHIPPEDCREAM,Fri Jun 19 16:15:49 +0000 2020,0,0,0,0,FALSE
@Rad_NikkiYVR Sildenafil citrate (viagra) is used to treat high blood pressure in the lungs and ED.,en,Vancouver,,,,nelsonmkwok,Fri Jun 19 04:43:51 +0000 2020,0,0,0,0,FALSE
"effect of simulated altitude on sleep quality and athletic performance, as well as the role of sildenafil in endurance cycle performance.
#UBC #UBCGrad #graduation",en,"Vancouver, BC, Canada",,,,UBCGradSchool,Wed Jun 17 19:10:14 +0000 2020,0,0,0,0,FALSE
@docisa33 Ouf... je croyais que vous rapportiez le discours d’une de vos patientes qui souhaitait du sildenafil pour son conjoint.,fr,Joliette,,,,matpel22,Mon Jun 15 15:54:34 +0000 2020,0,0,0,0,FALSE
"Sildenafil reduces operative birth for intrapartum fetal compromise in women at term in early labor or undergoing scheduled induction of  labor.

@AJOG_thegray

No difference in neonatal adverse outcomes. Wld have been interesting to scan those infants &amp; 

https://t.co/BUehVJeIru",en,"Winnipeg, Canada",,,,NICU_Musings,Mon Jun 15 12:09:18 +0000 2020,0,0,0,1,FALSE
Quien ha probado el SILDENAFIL?,es,"Vancouver, British Columbia",,,,alejandrormzb,Mon Jun 15 02:50:21 +0000 2020,0,1,0,0,FALSE
"The most effective treatment of impotence/ED is Sildenafil, not the slaughter of food animals, not Abuse, not torture",en,Canada,,,,ssnaqi,Sun Jun 14 02:21:28 +0000 2020,0,0,0,1,FALSE
"Viagra and Cialis seem to get the headlines, but what about Levitra? We look at some of the differences between sildenafil, tadalafil and vardenafil. #UPGUYS #MensHealth #Viagra 
#UPGUYS #MensHealth #ED 
https://t.co/9ZFPcCJsPq",en,Canada,,,,upguyshealth,Thu Jun 11 22:26:00 +0000 2020,0,0,0,0,FALSE
"💊10 More Brands!

11. Seroquel - quetiapine

12. Viagra - sildenafil

13. Restoril - temazepam

14. Altace - ramipril

15. Tamiflu - oseltamivir

16. Flagyl - metronidazole

17. Nizoral - ketoconazole

18. Dilantin - phenytoin

19. Ventolin - albuterol

20. Zantac - ranitidine",sl,in the theatre,,,,DarklyJojo,Sat Jun 06 13:16:25 +0000 2020,0,0,0,1,FALSE
⚠️Visual disturbances are an adverse effect of PDE5 inhibitors - such as sildenafil and vardenafil - but are caused via PDE6 inhibition!,en,in the theatre,,,,DarklyJojo,Wed Jun 03 11:47:39 +0000 2020,0,0,0,1,FALSE
"@bubbly_se_tapuk You know high vitamin c and ginger tea are pretty great. Also nitrates are great for vasodilation. So sildenafil (for exersional dyspnea) and amyl nitrates, but I'm not a doctor.",en,,,,,K_KRSK,Tue Jun 02 23:31:28 +0000 2020,0,1,0,0,FALSE
"DRUGS WHICH WERE ACCIDENTALLY DISCOVERED

Sildenafil citrate (Viagra)

 Viagra was developed as a treatment for jet jag and certain heart diseases. However, when men took it, they discovered that their penis began to rise.Further studies were conducted and it was proven https://t.co/Tk6IN78gi2",en,"Montréal, Québec",,,,eetz_trish,Fri May 22 06:31:57 +0000 2020,0,0,0,1,FALSE
"@ACLakeMD Caffeine
Caffeine
Caffeine
*Why are you giving me Viagra?
Oh ... Modafinil
Caffeine
Caffeine
Caffeine
Caffeine + Modafinil

(*Yes, I did ask that. Sildenafil has the same roll to the tongue)",en,"Vancouver, British Columbia",,,,daph_ling,Thu May 21 04:03:37 +0000 2020,0,0,0,0,FALSE
"@psehgal89 @ACLakeMD Sildenafil
...
...
ASA, ticagrelor, Fonda, nitrates 
...
...
Levophed",pt,Toronto,,,,AlexKumachev,Wed May 20 01:48:38 +0000 2020,0,0,0,0,FALSE
"one little pill can make all the difference 💊 our solution to erectile dysfunction — #Sildenafil — is easy to take, fast-acting and Health Canada approved, it's a man's best friend. Learn more at https://t.co/YxmQt4105F. #edmeds #onlinemeds #telehealth #onmen #sexualhealth https://t.co/RnmjeVlzx3",en,Canada,,,,onmen_ca,Tue May 12 14:45:05 +0000 2020,0,0,0,0,FALSE
@thestinkmarket You’re the only broad I don’t need sildenafil for,en,"Banff, Alberta",,,,ChadfordI,Fri May 08 03:45:48 +0000 2020,0,0,0,0,FALSE
Could be worse? Could have had the second drawer open.  #Sudafed #viagra #sildenafil https://t.co/hUFWAt78OO https://t.co/1JLXtIdtWp,en,"London, Ontario",,,,ernestkc,Wed May 06 02:24:24 +0000 2020,0,0,0,1,TRUE
Could be worse? Could have had the second drawer open.  #Sudafed #viagra #sildenafil https://t.co/hUFWAt78OO https://t.co/1JLXtIdtWp,en,"London, ON",Canada,CA,"[[[-81.391247, 42.824496], [-81.391247, 43.073185], [-81.106326, 43.073185], [-81.106326, 42.824496]]]",JDCampbell_MD,Wed May 06 01:58:48 +0000 2020,0,0,1,0,TRUE
"@SaintXavier2 @youseepeeYYC @1987SarahJoy @Albertadoctors MANY medications we use have are used for completely different conditions. MANY drugs are repurposed, like Gabapentin, originally developed for treating epilepsia is now a common pain killer, Sildenafil was developed for high blood pressure and now used for erectile dysfunction.",en,Alberta,,,,LoraInAlberta,Fri May 01 18:53:09 +0000 2020,0,1,0,0,FALSE
@thedailyshitss Sildenafil,lv,"Manitoba, Canada",,,,Sajjad_Heydari,Wed Apr 29 21:08:17 +0000 2020,0,1,0,0,FALSE
@JoeSquawk @outbreakIn2020 @ErniesAirport @BeckyQuick @andrewrsorkin @SquawkCNBC .@JoeSquawk you are right there is some rigorous efforts underway to look at sildenafil (viagra) in treatment of severe covid to address small airway disease. It was studied in China as well. I was not familiar with these studies.,en,"Toronto, Ontario",,,,TalyaTweet,Fri Apr 24 13:37:03 +0000 2020,0,0,0,1,FALSE
"&gt;&gt;Chewable Sildenafil &amp; Tadalafil ED Treatments BlueChew. received great  Reviews! Same FDA-approved active ingredients. Fast acting results.  @knowellex   Check it out.   For US customers only 
https://t.co/HEArS9Unyu https://t.co/KLNcSbb5WV",en,"Vancouver, Canada",,,,knowellex,Thu Apr 23 06:55:48 +0000 2020,0,0,0,0,FALSE
"His ‘#COVID19 concierge medicine pack’ included hydroxychloroquine, azithromycin, alprazolam (Xanax) and sildenafil (Viagra).

It’s safe to say he can kiss his medical license goodbye. https://t.co/KU8tzRyP8z",en,"Dieppe, New Brunswick",,,,DrPChouinard,Fri Apr 17 22:04:16 +0000 2020,0,1,0,0,TRUE
"@BruceBartlett @KyleKulinski Well said bruce,
I'm sure that will bring voters just scampering to your cause.
Oh, and I'm sure that sentiment would have been reciprocated but we understand that sildenafil citrate can't help with all physical limitations.
Next time try logic. 😘",en,new scotland,,,,JeanGuy_LeB,Tue Apr 14 11:04:15 +0000 2020,0,0,0,0,FALSE
"Germany's last emperor ""Schlüpfrig"" Willy was a pioneer in the use of sildenafil moustache wax. https://t.co/L1qaDB7g0d",en,Rural Alberta,,,,onlyafewcows,Mon Apr 13 13:39:09 +0000 2020,0,0,0,1,FALSE
"@jamesgemmill Description

Sildenafil for @CityHallWchVAN",en,"Vancouver,B.C.",,,,kenpaquette,Mon Apr 13 06:30:30 +0000 2020,0,0,0,0,FALSE
"@micROCKScopica Boys feel a little blue,  when they can't get their sildenafil.",en,"Slave Lake, Alberta",Canada,CA,"[[[-118.905407, 55.112457], [-118.905407, 55.207212], [-118.718023, 55.207212], [-118.718023, 55.112457]]]",wandreef,Thu Apr 09 14:24:04 +0000 2020,0,0,0,0,FALSE
"@crulge Personally, when my partner and I had it, the best treatment protocol seemed to be Gluccocorticoids, Antipyretics, Sildenafil &amp; Guaifenesin, and as much fluids as we could take during the day and DXM at night to sleep. I barely got hit but my partner had it bad.",en,Toronto,,,,gabberghoul,Wed Apr 08 20:30:00 +0000 2020,0,1,0,0,FALSE
"I know everyone has so much on their minds right now, but this is still an issue and becoming really stressful. If you think any internal medicine veterinarians follow you, please share. Kima's currently on Doxy, Sildenafil, Simplicef, and Pred. Effusion is steady at 5cc/hour. https://t.co/Ve70G6Os7t",en,"Maple Ridge, BC",,,,CompAnimalPsych,Mon Apr 06 20:48:53 +0000 2020,0,0,0,1,TRUE
"239 ongoing clinical trials on COVID-19. Among them, use of sildenafil.  https://t.co/mPO3Bkplyp",en,Canada,,,,Mingoelddif,Mon Apr 06 18:27:49 +0000 2020,0,0,0,1,FALSE
"Among men with #ErectileDysfunction in the United States, rates of switching and treatment overlap were low for all #PDE5Is but were found to be the lowest for #sildenafil compared with #tadalafil and #vardenafil.
https://t.co/PyHbsUAcm7 https://t.co/XkjCbWAdnp",en,"London, ON",,,,JDCampbell_MD,Mon Apr 06 00:28:39 +0000 2020,0,0,0,1,FALSE
@ivortossell good thing he didn't endorse sildenafil to everyone coz that'll keep people inside but at what cost,en,"toronto, ontario",,,,terrylknox,Sat Mar 21 15:19:56 +0000 2020,0,0,0,0,FALSE
"@pukears @BogochIsaac @TorontoIDDoc @ASPphysician @jpowi @janinemccready @zchagla @DrToddLee There are about 94 ongoing registered trials for #COVID19: https://t.co/bKknIFgCKO All sorts of interesting things being tested from steroids to sildenafil! [and anti-virals, IVIG, nitric oxide, eculizumab, N95 vs mask @McMasterU]",en,toronto,,,,FralickMike,Sat Mar 14 17:06:34 +0000 2020,0,2,0,0,FALSE
"it is a vasodilator that when they take too much, can worsen the condition. This is also why it’s important to ask them if they’ve taken sildenafil as it is also a vasodilator, something many people don’t know #biom4180 https://t.co/gciUPU17Ed",en,Toronto,,,,BrittanyCon40,Sun Mar 08 17:10:37 +0000 2020,0,0,0,0,FALSE
"@rbauld try inhaled nitroglycerine
https://t.co/9MwxOuuwJf
I have mixed thoughts about sildenafil, it's a super attractive concept and it could be a good idea, but if it causes deterioration it could be harder to withdraw.  I don't think it would be the wrong thing to do.",en,Ottawa Ontario Canada,,,,LavergneNatalie,Wed Mar 04 23:56:27 +0000 2020,0,0,0,1,FALSE
"Pharmacological tx (2nd line): 
1. Losartan has some evidence 
2. Sildenafil 25mg TID (watch and warm for low BP and monocular blindness esp in DM and HTN). 
3. Transdermal Tafalafil (Cialis) available in some regions of Canada. 

#ASM2020  #CRA2020",en,"Toronto, Ontario",,,,sahilkoppikar,Sat Feb 29 18:31:59 +0000 2020,0,1,1,0,FALSE
"Side Effects of Viagra (sildenafil) | Mnemonic!

             *** FUCKING ***

F - Flushing

U - Under normal blood pressure (hypotension)

C - Color distortion (visual disorders)

K - Killer headache

I - Increased heart rate (tachycardia)

N - Nasal congestion

G - Going dizzy!",en,"Ontario, Canada",,,,HungryHundar,Sat Feb 29 15:30:03 +0000 2020,0,0,0,1,FALSE
"Side Effects of Viagra (sildenafil) | Mnemonic!

             *** FUCKING ***

F - Flushing

U - Under normal blood pressure (hypotension)

C - Color distortion (visual disorders)

K - Killer headache

I - Increased heart rate (tachycardia)

N - Nasal congestion

G - Going dizzy!",en,"Montréal, Québec",,,,KobbyGray,Sat Feb 29 15:23:00 +0000 2020,0,0,0,1,FALSE
Of course none of these products world contain sildenafil,en,"Ottawa, Ontario, Canada",,,,WayeScientist,Sat Feb 15 19:32:41 +0000 2020,0,0,0,0,FALSE
"Health Canada testing determined that Performance Plus capsules contain sildenafil, a prescription drug used to treat erectile dysfunction that should ""be used only under the supervision of a health care professional."" https://t.co/KWSdWE85R5",en,"Vancouver, BC",,,,vancouvernews,Thu Feb 13 03:40:40 +0000 2020,0,0,0,1,FALSE
"Health Canada testing determined that Performance Plus capsules contain sildenafil, a prescription drug used to treat erectile dysfunction that should ""be used only under the supervision of a health care professional."" https://t.co/KWSdWE85R5",en,"Vancouver, British Columbia",,,,CTVVancouver,Thu Feb 13 03:30:00 +0000 2020,1,0,1,0,FALSE
"**RECALL ALERT**
 Performance Plus capsules may pose serious health risks, such as heart attack and stroke. Health Canada laboratory testing found that it contains a prescription drug (sildenafil) that is not listed on the product label. https://t.co/WUvJr6Wi9E",en,Canada,,,,bee2216,Wed Feb 12 19:29:26 +0000 2020,0,0,0,1,FALSE
"**RECALL ALERT**
 Performance Plus capsules may pose serious health risks, such as heart attack and stroke. Health Canada laboratory testing found that it contains a prescription drug (sildenafil) that is not listed on the product label. https://t.co/WUvJr6Wi9E",en,"Edmonton, Alberta",,,,Macgyyver,Tue Feb 11 23:05:49 +0000 2020,0,0,0,1,FALSE
"**RECALL ALERT**
 Performance Plus capsules may pose serious health risks, such as heart attack and stroke. Health Canada laboratory testing found that it contains a prescription drug (sildenafil) that is not listed on the product label. https://t.co/WUvJr6Wi9E",en,"Ontario, Canada",,,,Snuggles1964,Tue Feb 11 21:55:38 +0000 2020,0,0,0,1,FALSE
"**RECALL ALERT**
 Performance Plus capsules may pose serious health risks, such as heart attack and stroke. Health Canada laboratory testing found that it contains a prescription drug (sildenafil) that is not listed on the product label. https://t.co/WUvJr6Wi9E",en,Canada,,,,JMTremblay1,Tue Feb 11 21:45:45 +0000 2020,0,0,0,1,FALSE
"**RECALL ALERT**
 Performance Plus capsules may pose serious health risks, such as heart attack and stroke. Health Canada laboratory testing found that it contains a prescription drug (sildenafil) that is not listed on the product label. https://t.co/WUvJr6Wi9E",en,"Calgary, Alberta",,,,4Everanimalz1,Tue Feb 11 21:27:49 +0000 2020,0,0,0,1,FALSE
