text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,is_retweet,is_quote_status
Why does no one mention erectile dysfunction when discussing biological clocks? 🤔,en,Toronto.,,,,Ellaysay,Thu May 30 13:38:19 +0000 2019,0,0,0,1,FALSE
Why does no one mention erectile dysfunction when discussing biological clocks? 🤔,en,Ga Mashie,,,,AsaabaGH,Thu May 30 04:34:56 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,Canada,,,,acdcjoanie,Thu May 30 01:04:33 +0000 2019,0,0,0,1,FALSE
"@drex @ChipYVR You don’t have to justify your erectile dysfunction, @ChipYVR. It just happens to some people. If you want help, Twitter isn’t going to provide it - go to your doctor and ask for Cialis.  I hear it works wonders (not sponsored).",en,"Coquitlam, British Columbia",,,,NicESpurling,Thu May 30 00:41:19 +0000 2019,0,0,0,1,FALSE
"@drex @ChipYVR You don’t have to justify your erectile dysfunction, @ChipYVR. It just happens to some people. If you want help, Twitter isn’t going to provide it - go to your doctor and ask for Cialis.  I hear it works wonders (not sponsored).",en,"Coquitlam, British Columbia",,,,NicESpurling,Thu May 30 00:40:51 +0000 2019,0,1,1,0,FALSE
@steeletalk @nationalpost @TristinHopper @CKNW Tight jeans inducing erectile dysfunction?  Gross patchy beard?,en,"Vancouver, British Columbia",,,,ryanwhittle12,Wed May 29 22:56:09 +0000 2019,0,0,0,0,FALSE
Why does no one mention erectile dysfunction when discussing biological clocks? 🤔,en,Toronto and Montreal,,,,BrandonBombay,Wed May 29 19:52:15 +0000 2019,0,0,0,1,FALSE
How Tech Helped Create A New Erectile Dysfunction Crisis https://t.co/2jUjom0GzT via @Digg,en,N. S. Canada,,,,Brianwh15349260,Wed May 29 12:30:16 +0000 2019,0,0,0,0,FALSE
How Tech Helped Create A New Erectile Dysfunction Crisis via Digg https://t.co/CsbgXQxppj,en,"Toronto, Canada",,,,sauloavelar,Wed May 29 11:50:06 +0000 2019,0,0,0,0,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,"Edmonton, Alberta, Canada",,,,sebarkei,Wed May 29 05:52:26 +0000 2019,0,0,0,1,FALSE
Not a bad thing at all. Eating too much beef can cause impotence in men. https://t.co/0VoPjPRexm https://t.co/IKVaGjc3WQ,en,Canada,,,,deBeauxOs1,Tue May 28 22:28:00 +0000 2019,0,2,1,0,TRUE
"@ryanaboyd Depends, do you have a wife who resents you for your erectile dysfunction?",en,Montreal,,,,kleixa,Tue May 28 22:09:29 +0000 2019,0,0,0,0,FALSE
"@leehasopinions @Septula86 @bradopus @khoffma36 Nah, just jacking off at the thought of denying women their rights but still providing him Viagra for erectile dysfunction.",en,"Canada,",,,,diannebdee,Tue May 28 22:07:50 +0000 2019,0,0,0,0,FALSE
If you don’t pay for your porn you will get erectile dysfunction. You’re officially cursed.,en,Goddessxserenity@gmail.com,,,,GoddessxSerenn,Tue May 28 21:48:14 +0000 2019,0,0,0,1,FALSE
"Don't know what concerns me more about new followers on @Twitter numbered bots with young women avatars or services geared towards middle-aged losers like me-hair transplant clinics, proctology services,weight-loss programs,and erectile dysfunction treatments #howdareyou https://t.co/B3hx2nAUr9",en,"Toronto, Ontario",,,,PhilDoherty,Tue May 28 19:02:56 +0000 2019,0,0,0,0,FALSE
Trans/Sex: What it’s like using erectile dysfunction medication as a trans woman: https://t.co/mWa9XFQ9y0 https://t.co/Ow7ji7y11p,en,"Vancouver, British Columbia",,,,JDKink,Tue May 28 18:52:18 +0000 2019,0,0,0,1,FALSE
"For this month’s Trans/Sex I wrote about erectile dysfunction medication for trans women, what it’s like, and why you might want to use them!

https://t.co/wIWd4yrCqF",en,Canada,,,,AgentJR_LP,Tue May 28 17:40:46 +0000 2019,0,0,0,1,FALSE
"For this month’s Trans/Sex I wrote about erectile dysfunction medication for trans women, what it’s like, and why you might want to use them!

https://t.co/wIWd4yrCqF",en,"British Columbia, Canada",,,,sillygaymiria,Tue May 28 14:54:36 +0000 2019,0,0,0,1,FALSE
"Recent study suggests men might avoid erectile dysfunction (ED) with effective tooth brushing coupled with good oral hygiene; 74% of patients with ED had signs of #periodontitis (via @UGR_JCP)
https://t.co/mL4QL7lJok #JournalofClinicalPeriodontology https://t.co/qnZcrFd30p",en,"Burlington, Ontario",,,,OntarioODHA,Tue May 28 11:30:43 +0000 2019,0,0,0,0,FALSE
"RT @VigorousSol: Vigorous Solutions, pioneers in ED treatment, is the first developer of rapidly absorbed #Sildenafil solution therapy products, primarily used for the treatment of Erectile Dysfunction &amp; Pulmonary Hypertension.
#erectiledysfunction #menshealth #ED #VigorousS…",en,"Cambridge, Ontario",,,,MichellePandey,Tue May 28 09:37:19 +0000 2019,0,0,0,0,FALSE
"@bryanloewen @ChipYVR It’s called erectile dysfunction, chip.",en,,,,,peterhry,Tue May 28 05:08:13 +0000 2019,0,0,0,0,FALSE
"In the last 10 years, Medicare has spent more than $240 million dollars on penis pumps for seniors with erectile dysfunction. #The6ix #TheSix",en,"Toronto, Ontario",,,,6iqinix,Mon May 27 16:06:31 +0000 2019,0,0,0,0,FALSE
"Watermelon is loaded with lycopene, an antioxidant that’s good for your heart, prostate, and skin. https://t.co/6AyX8lZ6Ff https://t.co/ge0I6kvCTU",en,"Montreal, Canada",,,,CCRoVa,Mon May 27 12:48:00 +0000 2019,0,0,0,1,FALSE
Do well-endowed men have weaker erection quality? https://t.co/G39fdjmhUh #SmartNews,en,Canada,,,,brianhurley,Mon May 27 12:31:20 +0000 2019,0,0,0,0,FALSE
"1. High blood pressure
2. Depression
3. Mild Deafness 
4. Erectile Dysfunction
5. Cold &amp; Flu
6. Dullness
7. Prostrate Cancer
8. Heart attack
9. Cancer
10. Malaria
11. Leprosy
12. HIV&amp;AIDs
The Oga kpatakpata of them all
13. Death

Save yourself from these issues and have more sex! https://t.co/dPkvleMCKB",en,Lost,,,,DJPhemzydee,Mon May 27 11:16:44 +0000 2019,0,0,0,1,TRUE
I feel like people don't talk enough about those dick implants that some dudes with erectile dysfunction get. Like. Someone could just come along and force you to get hard at a moments notice. That's so fucked up and hot.,en,"Montréal, Québec",,,,BoringNerdyKate,Mon May 27 10:02:54 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,Canada,,,,iceblueaccent,Mon May 27 05:52:35 +0000 2019,0,0,0,1,FALSE
"Watermelon is loaded with lycopene, an antioxidant that’s good for your heart, prostate, and skin. https://t.co/6AyX8lZ6Ff https://t.co/ge0I6kvCTU",en,"Toronto, Ontario",,,,QuantiHealth_HL,Mon May 27 01:48:29 +0000 2019,0,0,0,1,FALSE
"Watermelon is loaded with lycopene, an antioxidant that’s good for your heart, prostate, and skin. https://t.co/6AyX8lZ6Ff https://t.co/ge0I6kvCTU",en,Toronto,,,,michellemagee,Mon May 27 01:31:53 +0000 2019,0,0,0,1,FALSE
"I’m also suspiciously obsessed with elasticas stutter, a song about erectile dysfunction so I’m very bad at being a gay lmao",en,"Saskatoon, Saskatchewan",,,,capri_pants,Sun May 26 23:24:52 +0000 2019,0,0,0,0,FALSE
"@reidconnord Republicans banned ABORTION before they banned ASSAULT WEAPONS!?! 🤦‍♂️  

Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible. https://t.co/R0RdAKIzYi",en,Ontario,,,,CdnCrone,Sun May 26 16:01:21 +0000 2019,0,0,0,1,FALSE
"0922 on a Sunday and some fucking guy told me I’m too ugly to rape

Let me just say, my dude? Stop blaming me for your erectile dysfunction",en,Vancouver,,,,tgshepherdvan,Sun May 26 14:53:41 +0000 2019,0,0,0,1,FALSE
"@a_h_reaume Well...for me...the best standup is the joke &lt;THE Joke&gt; that is told over and over again. Also, no joke....I am sure way more cash is put into erectile dysfunction research and treatment than any women's disease. So tell as many as you can because you'll only annoy dudes...",en,Toronto,,,,swimmamum,Sun May 26 00:11:29 +0000 2019,0,0,0,0,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,"Toronto, ON",,,,barrylancaster_,Sat May 25 16:29:30 +0000 2019,0,0,0,1,FALSE
"Viagra has become a nationally-recognized hit for those with erectile dysfunction and Pfizer. But before it was used in the bedroom, the pill was originally developed to treat high blood pressure. Watch the full video here. https://t.co/A0PsMqW0qe https://t.co/Yyph9BrUBs",en,"Aurora, Ontario",,,,mensa2015,Sat May 25 14:41:02 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,"Saskatoon, Saskatchewan",,,,directoractc,Sat May 25 01:25:19 +0000 2019,0,0,0,1,FALSE
Can Ayurveda treat erectile dysfunction in diabetics? https://t.co/5rxckadNP1,en,"London, Ontario",,,,RavishankarVK1,Fri May 24 20:13:00 +0000 2019,0,0,0,0,FALSE
"Problems in the bedroom? #DannyTrejo has the solution for you
https://t.co/b0cJ3FvpTB",en,Canada,,,,ETCanada,Fri May 24 02:58:03 +0000 2019,0,0,0,0,FALSE
Danny Trejo reveals struggle with erectile dysfunction https://t.co/MJ1zGyDVvQ https://t.co/OknznUb9JU,en,"Regina, Saskatchewan",,,,Natas1031,Fri May 24 02:57:00 +0000 2019,0,0,0,1,FALSE
The Biggest LIE About Erectile Dysfunction https://t.co/nzDajzM8sa,en,"Montreal,Canada",,,,lano1106,Thu May 23 23:35:17 +0000 2019,0,0,0,0,FALSE
"@TheGameBeaters Tweedledee and Tweedledum.
Billy &amp; Chuck.
Tom &amp; Jerry.
Heckle &amp; Jeckle.
Miley Cyrus &amp; Nikki Minaj.
Ren &amp; Stimpy.
Erectile Dysfunction and the ""other"" DB.",en,"Winnipeg, Manitoba",,,,CabbitEmperor,Thu May 23 22:11:29 +0000 2019,0,0,0,0,FALSE
"#DannyTrejo reveals he had liver cancer. ""I had a 10-centimetre tumour in my liver and they said it was too big to start chemo""
https://t.co/D9vOnkpLzs https://t.co/pMZz64R72z",en,Canada,,,,ETCanada,Thu May 23 21:29:28 +0000 2019,0,0,2,0,FALSE
"DETECTIVE PIKACHU is a movie about overcoming erectile dysfunction and toxic masculinity. The Kino Psychonauts are joined by @marquisdecod from @dogisland69 🐶🏝️

Listen now: https://t.co/PUv3WnMQ5g

Support the show + bonus eps: https://t.co/aT04ZSObIn https://t.co/vjGD2Kn7sG",en,"Edmonton, Alberta",,,,MacDonaldTweets,Thu May 23 17:59:19 +0000 2019,0,0,0,1,FALSE
"@LarryBitcoin @giacomozucco How the hard core maximalist @giacomozucco discovered his soft side and became not too hard and not too soft.

For a moment thought that this is an interview with a Mexican doctor discussing erectile dysfunction. 😂",en,"Toronto, Ontario",,,,ladislavtweet,Thu May 23 14:11:16 +0000 2019,0,1,0,0,FALSE
"I went on a camping trip with my erectile dysfunction support group.

I was supposed to pitch a tent but I couldn't get it up.",en,"Ontario, Canada",,,,VikingJonesy,Thu May 23 11:00:29 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,Vancouver Island,,,,FrankMa142,Wed May 22 18:38:19 +0000 2019,0,0,0,1,FALSE
@realDonaldTrump ERECTILE DYSFUNCTION!,en,"Toronto, ON",,,,Christian_Cru2,Wed May 22 16:05:49 +0000 2019,0,0,0,0,FALSE
"*In a restaurant...Waiter approaches to get the orders....

HUSBAND: Oh my, you are so
 pretty!

WAITRESS: Why, thank you Sir.

WIFE: Tell her about your Erectile Dysfunction.

No Comeback.😲😅😂🤣.",en,Canada in Jesus name,,,,_Teemiey,Wed May 22 07:49:59 +0000 2019,0,0,0,1,FALSE
I’ve discovered Egyptian ads for the erectile dysfunction pill Virecta &amp; I’m never gonna be ok again https://t.co/m0Y2T5Y54U,en,"Calgary, Alberta, Canada",,,,sjcmmd,Wed May 22 03:10:42 +0000 2019,0,0,0,1,FALSE
Big Pharma is LYING to Your Face about Erectile Dysfunction https://t.co/BJ2R3jNjaS,en,"Montreal,Canada",,,,lano1106,Tue May 21 23:51:14 +0000 2019,0,0,0,0,FALSE
The main villain in The Expendables 4 is erectile dysfunction,en,"Toronto, Ontario",,,,drinksmcgee,Tue May 21 20:28:22 +0000 2019,0,0,0,1,FALSE
The main villain in The Expendables 4 is erectile dysfunction,en,Canada,,,,OfficeofSteve,Tue May 21 20:27:57 +0000 2019,0,0,0,1,FALSE
"Long-Term Drug Treatment For Benign Prostatic Hyperplasia May Increase The Risk Of Erectile Dysfunction

https://t.co/xOGNf3UvqY https://t.co/e2TyoMKBz9",en,"Richmond, British Columbia",,,,CanadaRna,Tue May 21 16:30:54 +0000 2019,0,0,0,0,FALSE
The main villain in The Expendables 4 is erectile dysfunction,en,Been there and gone ,,,,PoodleSnarf,Tue May 21 12:05:46 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,"Ontario, Canada",,,,Bytowngal,Tue May 21 11:35:14 +0000 2019,0,0,0,1,FALSE
The main villain in The Expendables 4 is erectile dysfunction,en,Canada,,,,OfficeofSteve,Tue May 21 11:21:24 +0000 2019,0,3,44,0,FALSE
"Doctor with a uterus, here. Since when has an all-female panel voted on men’s access to erectile dysfunction meds⁉️

Since NEVER.🙄

The same should go for an all-male panel voting on women’s reproductive rights‼️

#RoeVWade https://t.co/h0l0LaLbgy",en,"Clarenville, Newfoundland and Labrador",,,,jillybeannl,Tue May 21 11:13:09 +0000 2019,0,0,0,1,TRUE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,Kamloops BC,,,,kelownascott,Tue May 21 00:16:39 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,"Edmonton, Alberta",,,,DeetoriaDee,Mon May 20 22:08:01 +0000 2019,0,0,0,1,FALSE
"My #awishnoted is that endometriosis would receive at least the same due care, attention, and research dollars that erectile dysfunction does. People are forced to stop working, are committing suicide because they... https://t.co/DeGwyrD7Hy",en,"Saskatchewan, Canada",,,,LiveLikeWarrior,Mon May 20 18:56:23 +0000 2019,0,0,0,0,FALSE
"""I came to terms with having erectile dysfunction and low testosterone at age 40. I thought it was a problem only older men experienced, so I had been ignoring the fact that over the past several years, ..."" 
https://t.co/bsjAD4VWvd https://t.co/uszsyWM6wL",en,Toronto / Mississauga / Canada,,,,lovecraft_ltd,Mon May 20 16:12:02 +0000 2019,0,0,0,0,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,"Ottawa, Ontario",,,,beauchlem,Mon May 20 04:36:16 +0000 2019,0,0,0,1,FALSE
"@danieltosh Because 9/11 was an inside job, and I have erectile dysfunction.",en,"Vancouver, British Columbia",,,,talkalotnot,Sun May 19 22:37:01 +0000 2019,0,0,0,0,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,"Vancouver, British Columbia",,,,NadiePadie,Sun May 19 21:58:33 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,Vancouver,,,,LALFan_,Sun May 19 21:56:01 +0000 2019,0,0,0,1,FALSE
How Clogged Arteries Cause Erectile Dysfunction &amp; What You Can Do About It https://t.co/uyXPRxS3Is @gainswave,en,"Vancouver Island , Canada ",,,,satyronthewheel,Sun May 19 21:52:42 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,"Ontario, Canada",,,,bootsiecali,Sun May 19 18:50:04 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,Tiohtià:ke/ Montréal,,,,cisplease,Sun May 19 18:45:05 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,Canada,,,,FlyHoneyBunny,Sun May 19 18:39:34 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,Canada,,,,Tlemieux4,Sun May 19 18:26:38 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,"Ontario, Canada",,,,Debofthenorth,Sun May 19 18:08:02 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,Vancouver,,,,witchanddbitch,Sun May 19 17:36:39 +0000 2019,0,0,0,1,FALSE
"@MikeH1230 @ABCPolitics So, denying women medical procedures is legal. Which procedures will you be banning next? Will you be banning medical procedures for men as well? Erectile dysfunction is not terminal and appears to be god's will. Why should that be a paid-for procedure?",en,Canada,,,,pahl_brighteyes,Sun May 19 14:42:49 +0000 2019,0,1,0,0,FALSE
@Liberty0rdeath7 @sansbuIIcrap @SteakStoic @mattybulms Another dude with erectile dysfunction  slapping his meat in public.,en,The garden,,,,drunkvegans,Sun May 19 13:38:04 +0000 2019,0,2,0,0,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,Canada,,,,samanthagriffy,Sun May 19 11:37:17 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,"Chilliwack, British Columbia",,,,KadabraLori,Sun May 19 10:16:32 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,"Duncan, BC, Canada",,,,snnc,Sun May 19 05:44:22 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,"Vancouver, British Columbia",,,,kathleenmeryle,Sun May 19 03:39:23 +0000 2019,0,0,0,1,FALSE
Pelvic floor exercises could help men overcome erectile dysfunction or premature ejaculation https://t.co/uH8MzKWNwu,en,"Aurora, Ontario",,,,mensa2015,Sun May 19 03:04:58 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,Terra Firma,,,,firstaidguy,Sun May 19 01:59:22 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,"Mohkinstsis, Treaty 7",,,,butterflytango,Sun May 19 01:02:03 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,"Sault Ste. Marie, Ontario",,,,druggculture,Sun May 19 00:17:10 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,,,,,beenicetoday,Sun May 19 00:11:25 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,HTX📍,,,,its_amarao,Sun May 19 00:10:57 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,"Kitchener, ON Canada",,,,prutter_pat,Sat May 18 22:32:07 +0000 2019,0,0,0,1,FALSE
"8) there are surgical options for erectile dysfunction but like not in the ""we'll fix it so everything returns to normal"" way but more in the ""we're gonna surgically implant a prosthesis/pump system in your pelvis and penis so you can maintain an erection"" way",en,Canada,,,,philosophikyo,Sat May 18 22:17:19 +0000 2019,0,1,0,0,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,"Ontario, Canada",,,,Netara,Sat May 18 22:01:53 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,B.C. Canada.,,,,DianneC_BC,Sat May 18 21:59:43 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,Nova Scotia,,,,DonnaGillis,Sat May 18 21:44:36 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,Toronto,,,,infrahumano,Sat May 18 21:33:52 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,"Toronto, Canada",,,,SandyNeverFord,Sat May 18 21:33:29 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,"Ottawa, Ontario",,,,Twinb1976,Sat May 18 21:16:44 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,Canada,,,,inawordweb,Sat May 18 21:10:58 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,"Toronto, Ontario ",,,,ZanneCampbell,Sat May 18 20:40:23 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,Treaty 7 Territory (Calgary) ,,,,leeoneeko,Sat May 18 20:29:21 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,"Ontario, Canada",,,,sooze555,Sat May 18 19:58:28 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,Canada,,,,edwardlookalike,Sat May 18 19:52:42 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,"Belleville, Ontario",,,,BookAssassin,Sat May 18 19:04:57 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,"Toronto, Ontario",,,,atribecalledx,Sat May 18 19:04:29 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,🇨🇦 / 🇵🇹,,,,theCatLeigh,Sat May 18 18:54:03 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,"Vancouver, British Columbia",,,,FromBelow6,Sat May 18 18:46:22 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,Canada,,,,hinz_tamara,Sat May 18 18:45:53 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,Toronto ,,,,btsjarpadsebstn,Sat May 18 18:39:27 +0000 2019,0,0,0,1,FALSE
Erectile dysfunction is a part of God's plan to reduce abortions. We must criminalize the use of Viagra immediately to save us and legislate as much flaccidity as possible.,en,"Ontario, Canada",,,,SPennyFrlncEdtr,Sat May 18 18:33:33 +0000 2019,0,0,0,1,FALSE
